"1608328876.408156","Start","1608328876.412145"
"1608328876.408156","Opened all files","1608328876.412145"
"1608328876.408156","Running: sync.py","1608328876.412145"
"1608328876.408156","All files copied offline","1608328876.418168"
"1608328876.408156"," - 0° File","1608328876.418168"
"1608328876.408156","Internet/ DB(s) not avariable","1608328876.419126"
"1608328876.408156","End time: 2020-12-18 23:01:16.419126","1608328876.419126"
"1608328876.408156","Total time (python): 0:00:00.010970","1608328876.419126"
"1608328907.608878","Start","1608328907.613867"
"1608328907.608878","Opened all files","1608328907.613867"
"1608328907.608878","Running: sync.py","1608328907.613867"
"1608328907.608878","All files copied offline","1608328907.614863"
"1608328907.608878"," - 0° File","1608328907.614863"
